Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(52) Museum Geologi,(90) Alun-Alun Cianjur 28,111.54
(98) Wisata Subang 49,(23) Summarecon Mall Bandung,66.49
(23) Summarecon Mall Bandung,(19) RS Majalengka 41,65.17
(14) Universitas Telkom,(30) Stasiun Kiaracondong,57.16
(7) Masjid Raya Bandung,(11) Braga Citywalk,42.03
(84) Saung Angklung Udjo,(24) Alun-Alun Cianjur 3,124.65
(34) Hotel Kuningan 7,(17) Universitas Purwakarta 22,79.66
(98) Wisata Subang 49,(3) Terminal Cimahi 44,117.69
(58) Hotel Lembang 48,(52) Museum Geologi,124.29
(55) RS Tasikmalaya 50,(50) Lapangan Tegalega,123.06
(11) Braga Citywalk,(13) Terminal Lembang 29,34.88
(47) Alun-Alun Bandung,(48) Gasibu,114.0
(60) Gedung Sate,(73) Metro Indah Mall,102.01
(72) Hotel Cianjur 31,(2) Mall Sumedang 38,95.44
(93) Stasiun Majalengka 10,(52) Museum Geologi,74.72
(2) Mall Sumedang 38,(15) Mall Tasikmalaya 40,128.25
(77) RS Santosa Bandung,(94) Mall Purwakarta 39,52.65
(51) Museum Asia Afrika,(25) Universitas Soreang 20,30.71
(65) Babakan Siliwangi,(9) Terminal Sumedang 46,113.88
(4) Wisata Cirebon 30,(33) Hotel Cirebon 57,12.98
(26) Wisata Subang 54,(61) Mall Sumedang 5,125.3
(31) Terminal Lembang 14,(4) Wisata Cirebon 30,118.15
(28) GBLA Stadium,(74) Teras Cikapundung,86.84
(94) Mall Purwakarta 39,(23) Summarecon Mall Bandung,75.72
(51) Museum Asia Afrika,(64) Universitas Soreang 1,1.59
(81) Terminal Cicaheum,(6) Kebun Binatang Bandung,53.45
(69) Bandung Trade Centre,(76) Mall Soreang 25,67.01
(66) Wisata Lembang 18,(75) Stasiun Lembang 35,92.07
(82) RS Hasan Sadikin,(38) Alun-Alun Purwakarta 11,15.92
(75) Stasiun Lembang 35,(98) Wisata Subang 49,32.51
(41) Universitas Soreang 47,(2) Mall Sumedang 38,143.9
(98) Wisata Subang 49,(32) Hotel Tasikmalaya 52,111.71
(92) RS Sumedang 32,(38) Alun-Alun Purwakarta 11,114.57
(43) Terminal Tasikmalaya 56,(17) Universitas Purwakarta 22,136.55
(81) Terminal Cicaheum,(77) RS Santosa Bandung,101.32
(4) Wisata Cirebon 30,(46) Bandung Electronic Center,9.73
(34) Hotel Kuningan 7,(92) RS Sumedang 32,109.6
(38) Alun-Alun Purwakarta 11,(3) Terminal Cimahi 44,148.7
(33) Hotel Cirebon 57,(73) Metro Indah Mall,52.95
(39) Terminal Soreang 2,(47) Alun-Alun Bandung,89.57
(25) Universitas Soreang 20,(85) Universitas Padjadjaran,102.26
(14) Universitas Telkom,(92) RS Sumedang 32,99.55
(46) Bandung Electronic Center,(17) Universitas Purwakarta 22,45.14
(82) RS Hasan Sadikin,(52) Museum Geologi,70.68
(75) Stasiun Lembang 35,(67) Mall Indramayu 24,96.47
(22) Paskal Hyper Square,(82) RS Hasan Sadikin,111.57
(64) Universitas Soreang 1,(66) Wisata Lembang 18,93.64
(40) Terminal Rancaekek 21,(1) Bandung Indah Plaza,17.14
(92) RS Sumedang 32,(3) Terminal Cimahi 44,118.6
(2) Mall Sumedang 38,(17) Universitas Purwakarta 22,106.55
(51) Museum Asia Afrika,(26) Wisata Subang 54,58.99
(49) Alun-Alun Cirebon 4,(70) Dago Dreampark,108.68
(73) Metro Indah Mall,(90) Alun-Alun Cianjur 28,84.61
(13) Terminal Lembang 29,(87) Alun-Alun Soreang 37,86.79
(91) Universitas Sumedang 55,(22) Paskal Hyper Square,5.42
(8) Cihampelas Walk,(34) Hotel Kuningan 7,19.82
(34) Hotel Kuningan 7,(72) Hotel Cianjur 31,32.65
(99) Curug Dago,(93) Stasiun Majalengka 10,93.85
(33) Hotel Cirebon 57,(37) Kiara Artha Park,23.18
(31) Terminal Lembang 14,(82) RS Hasan Sadikin,54.08
(84) Saung Angklung Udjo,(26) Wisata Subang 54,71.52
(63) Stasiun Subang 26,(34) Hotel Kuningan 7,20.61
(97) Universitas Cirebon 43,(73) Metro Indah Mall,115.53
(76) Mall Soreang 25,(34) Hotel Kuningan 7,99.79
(63) Stasiun Subang 26,(44) Festival Citylink,108.8
(57) Terminal Leuwipanjang,(91) Universitas Sumedang 55,63.27
(62) Stasiun Kuningan 19,(87) Alun-Alun Soreang 37,31.61
(75) Stasiun Lembang 35,(14) Universitas Telkom,120.18
(54) Stasiun Kuningan 13,(89) Institut Teknologi Bandung,144.86
(9) Terminal Sumedang 46,(11) Braga Citywalk,43.25
(88) Terminal Subang 12,(96) RS Hermina,9.64
(85) Universitas Padjadjaran,(58) Hotel Lembang 48,33.24
(57) Terminal Leuwipanjang,(78) Universitas Lembang 15,148.43
(42) Terminal Cirebon 34,(71) Stasiun Indramayu 27,68.79
(56) Paris Van Java,(22) Paskal Hyper Square,116.65
(96) RS Hermina,(85) Universitas Padjadjaran,15.13
(71) Stasiun Indramayu 27,(87) Alun-Alun Soreang 37,90.25
(45) Terminal Purwakarta 53,(87) Alun-Alun Soreang 37,7.18
(52) Museum Geologi,(27) Stasiun Bandung,10.64
(7) Masjid Raya Bandung,(55) RS Tasikmalaya 50,80.37
(35) Terminal Lembang 17,(69) Bandung Trade Centre,102.16
(6) Kebun Binatang Bandung,(27) Stasiun Bandung,32.06
(0) Wisata Garut 42,(77) RS Santosa Bandung,95.88
(17) Universitas Purwakarta 22,(26) Wisata Subang 54,132.65
(51) Museum Asia Afrika,(71) Stasiun Indramayu 27,24.74
(89) Institut Teknologi Bandung,(2) Mall Sumedang 38,46.3
(84) Saung Angklung Udjo,(21) Mall Cimahi 6,100.95
(84) Saung Angklung Udjo,(36) Kings Shopping Center,139.8
(94) Mall Purwakarta 39,(49) Alun-Alun Cirebon 4,140.13
(74) Teras Cikapundung,(81) Terminal Cicaheum,90.68
(36) Kings Shopping Center,(78) Universitas Lembang 15,45.37
(31) Terminal Lembang 14,(56) Paris Van Java,130.44
(93) Stasiun Majalengka 10,(24) Alun-Alun Cianjur 3,72.77
(95) Trans Studio Bandung,(57) Terminal Leuwipanjang,49.12
(69) Bandung Trade Centre,(98) Wisata Subang 49,15.11
(40) Terminal Rancaekek 21,(66) Wisata Lembang 18,72.16
(90) Alun-Alun Cianjur 28,(67) Mall Indramayu 24,135.07
(0) Wisata Garut 42,(31) Terminal Lembang 14,40.68
(77) RS Santosa Bandung,(0) Wisata Garut 42,139.1
(89) Institut Teknologi Bandung,(51) Museum Asia Afrika,29.72
(32) Hotel Tasikmalaya 52,(78) Universitas Lembang 15,128.78
(24) Alun-Alun Cianjur 3,(34) Hotel Kuningan 7,21.62
(34) Hotel Kuningan 7,(3) Terminal Cimahi 44,113.71
(40) Terminal Rancaekek 21,(7) Masjid Raya Bandung,1.41
(5) Wisata Cirebon 45,(95) Trans Studio Bandung,130.57
(97) Universitas Cirebon 43,(52) Museum Geologi,106.63
(83) Stasiun Garut 58,(67) Mall Indramayu 24,108.75
(64) Universitas Soreang 1,(30) Stasiun Kiaracondong,51.08
(73) Metro Indah Mall,(86) Mall Indramayu 8,104.85
(71) Stasiun Indramayu 27,(57) Terminal Leuwipanjang,121.04
(69) Bandung Trade Centre,(39) Terminal Soreang 2,76.98
(70) Dago Dreampark,(67) Mall Indramayu 24,139.28
(99) Curug Dago,(68) Universitas Garut 59,15.86
(53) Hotel Lembang 23,(91) Universitas Sumedang 55,50.48
(52) Museum Geologi,(18) Dago Pakar,101.26
(51) Museum Asia Afrika,(4) Wisata Cirebon 30,56.39
(92) RS Sumedang 32,(70) Dago Dreampark,64.75
(58) Hotel Lembang 48,(26) Wisata Subang 54,114.13
(71) Stasiun Indramayu 27,(80) Alun-Alun Bandung 36,86.09
(68) Universitas Garut 59,(25) Universitas Soreang 20,27.69
(29) RS Al Islam,(17) Universitas Purwakarta 22,88.46
(6) Kebun Binatang Bandung,(44) Festival Citylink,80.2
(0) Wisata Garut 42,(10) Tahura Djuanda,87.86
(64) Universitas Soreang 1,(82) RS Hasan Sadikin,56.05
(36) Kings Shopping Center,(80) Alun-Alun Bandung 36,17.73
(51) Museum Asia Afrika,(20) RS Santo Borromeus,2.48
(48) Gasibu,(59) Hotel Soreang 51,44.34
(92) RS Sumedang 32,(37) Kiara Artha Park,123.26
(41) Universitas Soreang 47,(28) GBLA Stadium,67.68
(46) Bandung Electronic Center,(15) Mall Tasikmalaya 40,135.67
(36) Kings Shopping Center,(78) Universitas Lembang 15,31.97
(26) Wisata Subang 54,(73) Metro Indah Mall,123.02
(57) Terminal Leuwipanjang,(20) RS Santo Borromeus,114.65
(85) Universitas Padjadjaran,(60) Gedung Sate,67.86
(34) Hotel Kuningan 7,(65) Babakan Siliwangi,4.31
(19) RS Majalengka 41,(51) Museum Asia Afrika,146.3
(35) Terminal Lembang 17,(66) Wisata Lembang 18,2.86
(47) Alun-Alun Bandung,(4) Wisata Cirebon 30,132.36
(25) Universitas Soreang 20,(97) Universitas Cirebon 43,2.43
(27) Stasiun Bandung,(8) Cihampelas Walk,72.58
(31) Terminal Lembang 14,(17) Universitas Purwakarta 22,102.4
(5) Wisata Cirebon 45,(29) RS Al Islam,9.63
(30) Stasiun Kiaracondong,(9) Terminal Sumedang 46,54.15
(78) Universitas Lembang 15,(91) Universitas Sumedang 55,57.91
(12) Mall Cimahi 16,(26) Wisata Subang 54,4.67
(80) Alun-Alun Bandung 36,(94) Mall Purwakarta 39,48.49
(86) Mall Indramayu 8,(84) Saung Angklung Udjo,43.11
(5) Wisata Cirebon 45,(24) Alun-Alun Cianjur 3,59.77
(12) Mall Cimahi 16,(41) Universitas Soreang 47,21.03
(68) Universitas Garut 59,(81) Terminal Cicaheum,53.95
(68) Universitas Garut 59,(99) Curug Dago,100.29
(8) Cihampelas Walk,(80) Alun-Alun Bandung 36,68.37
(9) Terminal Sumedang 46,(21) Mall Cimahi 6,9.27
(34) Hotel Kuningan 7,(16) Stasiun Indramayu 9,104.81
