Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(163) Alun-Alun Kuningan 157,(30) Alun-Alun Tasikmalaya 65,81.71
(89) Terminal Indramayu 39,(3) Bandung Indah Plaza,69.39
(100) Universitas Bandung 132,(132) RS Subang 23,33.33
(8) Mall Lembang 113,(25) Wisata Cimahi 18,78.18
(171) Mall Tasikmalaya 46,(151) Terminal Cicaheum,11.64
(1) Alun-Alun Garut 84,(47) Universitas Sumedang 111,98.3
(175) Stasiun Subang 110,(69) Kiara Artha Park,136.48
(172) Alun-Alun Subang 142,(192) RS Hermina,108.84
(72) Hotel Rancaekek 135,(36) Terminal Purwakarta 63,4.11
(122) Universitas Bandung 35,(195) Mall Tasikmalaya 30,99.26
(144) Mall Garut 80,(27) Dago Pakar,13.17
(167) Mall Indramayu 155,(69) Kiara Artha Park,106.02
(139) Mall Bandung 136,(69) Kiara Artha Park,95.7
(113) Terminal Leuwipanjang,(155) Wisata Sumedang 141,149.41
(198) Terminal Majalengka 104,(44) GBLA Stadium,24.26
(94) Universitas Purwakarta 24,(68) Mall Cirebon 15,145.84
(156) Stasiun Tasikmalaya 4,(140) Hotel Cianjur 148,67.88
(76) Hotel Purwakarta 21,(170) RS Cianjur 25,101.1
(133) RS Cirebon 56,(11) Kebun Binatang Bandung,60.07
(143) Hotel Tasikmalaya 37,(165) Saung Angklung Udjo,143.47
(166) Universitas Padjadjaran,(42) Alun-Alun Majalengka 44,34.0
(51) Stasiun Kiaracondong,(20) Braga Citywalk,23.41
(33) Universitas Cianjur 130,(72) Hotel Rancaekek 135,130.32
(98) Lapangan Tegalega,(92) Stasiun Cirebon 71,69.46
(79) Alun-Alun Cirebon 54,(183) RS Garut 146,69.29
(40) Stasiun Bandung,(157) Stasiun Majalengka 125,2.93
(167) Mall Indramayu 155,(49) Alun-Alun Cianjur 149,129.37
(77) Alun-Alun Subang 27,(122) Universitas Bandung 35,64.66
(25) Wisata Cimahi 18,(174) Mall Majalengka 87,111.51
(97) Gasibu,(145) Hotel Bandung 74,19.26
(47) Universitas Sumedang 111,(166) Universitas Padjadjaran,56.91
(158) Stasiun Bandung 143,(170) RS Cianjur 25,77.37
(62) Alun-Alun Cimahi 121,(3) Bandung Indah Plaza,35.32
(127) Terminal Lembang 129,(169) RS Rancaekek 86,43.58
(38) RS Indramayu 41,(196) RS Garut 61,25.08
(16) Terminal Lembang 68,(68) Mall Cirebon 15,67.71
(107) RS Cirebon 76,(108) Museum Geologi,32.45
(92) Stasiun Cirebon 71,(127) Terminal Lembang 129,74.7
(92) Stasiun Cirebon 71,(139) Mall Bandung 136,2.29
(162) Universitas Indramayu 13,(128) Wisata Majalengka 103,114.07
(108) Museum Geologi,(41) Alun-Alun Sumedang 43,113.34
(6) Universitas Indramayu 78,(24) Terminal Cianjur 26,108.32
(116) Wisata Kuningan 1,(133) RS Cirebon 56,75.94
(139) Mall Bandung 136,(132) RS Subang 23,66.32
(121) Alun-Alun Rancaekek 5,(163) Alun-Alun Kuningan 157,135.73
(39) Mall Tasikmalaya 158,(82) Terminal Purwakarta 97,64.25
(9) Hotel Lembang 3,(109) RS Kuningan 98,23.68
(172) Alun-Alun Subang 142,(155) Wisata Sumedang 141,3.85
(102) Wisata Lembang 33,(20) Braga Citywalk,110.71
(29) Stasiun Bandung 119,(110) Universitas Cianjur 133,137.17
(119) Wisata Rancaekek 108,(92) Stasiun Cirebon 71,63.94
(71) Wisata Bandung 79,(35) Terminal Kuningan 95,147.37
(105) Alun-Alun Cimahi 126,(15) Tahura Djuanda,98.42
(56) Hotel Rancaekek 109,(176) Hotel Kuningan 32,39.12
(39) Mall Tasikmalaya 158,(179) Hotel Garut 156,140.95
(165) Saung Angklung Udjo,(113) Terminal Leuwipanjang,8.3
(190) Mall Cirebon 118,(103) Mall Tasikmalaya 147,125.85
(151) Terminal Cicaheum,(141) Metro Indah Mall,29.32
(100) Universitas Bandung 132,(13) Cihampelas Walk,3.77
(40) Stasiun Bandung,(166) Universitas Padjadjaran,58.62
(61) Terminal Cimahi 106,(151) Terminal Cicaheum,146.7
(121) Alun-Alun Rancaekek 5,(16) Terminal Lembang 68,37.13
(145) Hotel Bandung 74,(30) Alun-Alun Tasikmalaya 65,135.8
(58) Hotel Tasikmalaya 52,(144) Mall Garut 80,127.61
(180) Universitas Purwakarta 16,(34) Paskal Hyper Square,134.14
(61) Terminal Cimahi 106,(51) Stasiun Kiaracondong,7.23
(101) Museum Asia Afrika,(69) Kiara Artha Park,55.62
(169) RS Rancaekek 86,(106) Universitas Bandung 85,15.4
(30) Alun-Alun Tasikmalaya 65,(20) Braga Citywalk,9.86
(148) RS Santosa Bandung,(5) Stasiun Indramayu 49,89.95
(162) Universitas Indramayu 13,(173) Mall Bandung 100,109.93
(102) Wisata Lembang 33,(186) Stasiun Subang 67,3.44
(196) RS Garut 61,(12) Masjid Raya Bandung,95.47
(177) Hotel Tasikmalaya 145,(174) Mall Majalengka 87,42.73
(152) Hotel Purwakarta 12,(114) Stasiun Sumedang 50,109.77
(39) Mall Tasikmalaya 158,(0) Hotel Soreang 29,27.32
(50) RS Al Islam,(154) Terminal Indramayu 114,75.72
(162) Universitas Indramayu 13,(32) RS Santo Borromeus,128.27
(85) Mall Kuningan 122,(23) Universitas Telkom,97.43
(133) RS Cirebon 56,(113) Terminal Leuwipanjang,54.42
(86) Hotel Indramayu 51,(193) Wisata Majalengka 140,18.69
(170) RS Cianjur 25,(146) Teras Cikapundung,133.45
(63) Wisata Subang 59,(123) Wisata Lembang 82,74.69
(72) Hotel Rancaekek 135,(136) Mall Cirebon 107,48.28
(152) Hotel Purwakarta 12,(188) Wisata Cimahi 64,61.23
(71) Wisata Bandung 79,(74) Stasiun Bandung 77,12.61
(63) Wisata Subang 59,(127) Terminal Lembang 129,46.51
(72) Hotel Rancaekek 135,(1) Alun-Alun Garut 84,69.34
(25) Wisata Cimahi 18,(185) Wisata Indramayu 127,103.07
(24) Terminal Cianjur 26,(140) Hotel Cianjur 148,29.73
(46) Alun-Alun Tasikmalaya 66,(154) Terminal Indramayu 114,60.47
