Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(45) Universitas Kuningan 313,(251) Terminal Subang 85,51.46
(475) RS Cianjur 77,(2) Stasiun Soreang 102,3.94
(277) Terminal Lembang 108,(90) Terminal Purwakarta 79,120.02
(434) Mall Tasikmalaya 293,(413) Terminal Cianjur 326,135.51
(145) RS Garut 431,(456) Mall Cirebon 320,79.76
(46) Terminal Majalengka 66,(39) Terminal Rancaekek 298,45.15
(89) Terminal Indramayu 248,(204) Alun-Alun Purwakarta 64,110.63
(256) Terminal Purwakarta 203,(325) Wisata Cirebon 351,75.8
(406) RS Purwakarta 21,(130) Mall Cianjur 276,104.08
(202) Mall Indramayu 146,(336) Wisata Lembang 78,79.11
(269) Wisata Cirebon 453,(137) RS Bandung 268,20.37
(50) Wisata Rancaekek 5,(196) Universitas Soreang 86,137.88
(460) Universitas Soreang 367,(146) Mall Tasikmalaya 68,147.23
(19) RS Subang 28,(277) Terminal Lembang 108,139.88
(71) Museum Asia Afrika,(351) Wisata Lembang 261,26.08
(244) Mall Bandung 353,(431) RS Bandung 193,117.36
(147) Alun-Alun Kuningan 23,(72) Hotel Bandung 152,99.36
(360) Terminal Tasikmalaya 449,(314) Alun-Alun Cianjur 31,116.88
(493) Alun-Alun Indramayu 386,(459) RS Garut 226,137.75
(128) Wisata Majalengka 162,(30) Universitas Tasikmalaya 33,98.93
(41) RS Tasikmalaya 218,(15) Alun-Alun Garut 101,146.36
(158) Terminal Bandung 141,(45) Universitas Kuningan 313,3.87
(302) Universitas Cimahi 147,(138) Stasiun Soreang 253,66.72
(200) RS Majalengka 142,(403) RS Garut 91,37.75
(202) Mall Indramayu 146,(207) Terminal Rancaekek 352,53.36
(180) Universitas Cimahi 103,(401) Terminal Purwakarta 346,52.76
(301) Kings Shopping Center,(187) Terminal Garut 341,27.4
(484) Hotel Cianjur 321,(85) Alun-Alun Subang 201,147.56
(309) Mall Kuningan 309,(450) Terminal Soreang 219,60.09
(453) Alun-Alun Indramayu 135,(102) RS Bandung 377,13.73
(419) Alun-Alun Garut 195,(490) Universitas Tasikmalaya 71,49.95
(80) Mall Tasikmalaya 67,(304) Kiara Artha Park,95.23
(270) RS Indramayu 43,(457) Hotel Kuningan 183,138.71
(36) Wisata Bandung 404,(203) Gedung Sate,102.49
(388) Terminal Tasikmalaya 181,(350) Mall Soreang 161,3.0
(77) Terminal Leuwipanjang,(172) Mall Majalengka 9,44.86
(217) Universitas Tasikmalaya 211,(115) RS Indramayu 191,4.05
(460) Universitas Soreang 367,(491) Mall Lembang 22,105.09
(80) Mall Tasikmalaya 67,(223) RS Lembang 199,113.18
(275) Wisata Sumedang 82,(257) Braga Citywalk,5.75
(457) Hotel Kuningan 183,(5) Hotel Purwakarta 163,84.21
(405) Universitas Telkom,(286) Stasiun Cimahi 378,73.66
(171) Alun-Alun Tasikmalaya 325,(439) RS Bandung 212,129.91
(163) Hotel Cianjur 338,(246) Mall Cimahi 17,17.26
(166) Wisata Soreang 415,(35) Alun-Alun Tasikmalaya 421,2.7
(87) Babakan Siliwangi,(438) Terminal Purwakarta 308,78.38
(244) Mall Bandung 353,(333) Wisata Purwakarta 229,25.92
(322) Mall Indramayu 51,(119) Hotel Bandung 45,29.52
(371) Alun-Alun Lembang 295,(8) Alun-Alun Soreang 115,128.04
(6) Wisata Sumedang 379,(403) RS Garut 91,140.17
(396) RS Lembang 132,(475) RS Cianjur 77,130.82
(121) Mall Subang 44,(495) Alun-Alun Kuningan 314,8.76
(145) RS Garut 431,(219) Stasiun Tasikmalaya 118,137.93
(207) Terminal Rancaekek 352,(414) Alun-Alun Cimahi 124,46.95
(134) Hotel Rancaekek 442,(161) Stasiun Cianjur 63,122.45
(423) Terminal Cianjur 80,(154) Terminal Garut 329,77.62
(232) Mall Purwakarta 159,(56) Terminal Soreang 284,80.17
(443) RS Tasikmalaya 240,(143) RS Indramayu 288,80.88
(154) Terminal Garut 329,(465) Universitas Cimahi 49,119.78
(468) Metro Indah Mall,(127) Wisata Bandung 291,11.98
(41) RS Tasikmalaya 218,(432) Stasiun Lembang 424,48.78
(493) Alun-Alun Indramayu 386,(64) Alun-Alun Indramayu 72,68.83
(142) Universitas Rancaekek 56,(431) RS Bandung 193,41.86
(422) Mall Soreang 153,(373) Wisata Lembang 255,74.64
(282) Universitas Purwakarta 112,(445) Wisata Soreang 319,17.24
(316) Terminal Cimahi 230,(369) Wisata Cirebon 140,99.65
(239) Terminal Tasikmalaya 405,(428) RS Purwakarta 70,143.28
(39) Terminal Rancaekek 298,(47) Stasiun Kuningan 128,93.93
(149) Terminal Garut 168,(424) Hotel Garut 237,44.21
(310) Alun-Alun Bandung,(287) Alun-Alun Kuningan 83,136.87
(138) Stasiun Soreang 253,(484) Hotel Cianjur 321,53.54
(389) Alun-Alun Rancaekek 131,(451) Mall Indramayu 417,27.19
(10) RS Lembang 429,(261) Hotel Lembang 247,139.06
(41) RS Tasikmalaya 218,(469) RS Tasikmalaya 62,35.0
(126) Mall Lembang 438,(65) Terminal Rancaekek 287,133.82
(493) Alun-Alun Indramayu 386,(287) Alun-Alun Kuningan 83,2.92
(97) Stasiun Majalengka 174,(47) Stasiun Kuningan 128,15.1
(207) Terminal Rancaekek 352,(338) Dago Dreampark,72.83
(467) Alun-Alun Indramayu 117,(305) Alun-Alun Garut 88,56.82
(121) Mall Subang 44,(41) RS Tasikmalaya 218,103.0
(331) Wisata Cianjur 286,(190) Universitas Cimahi 169,142.87
(152) Stasiun Bandung,(41) RS Tasikmalaya 218,94.04
(12) Hotel Cimahi 392,(38) RS Lembang 441,45.56
(191) Hotel Subang 305,(142) Universitas Rancaekek 56,19.26
(28) Summarecon Mall Bandung,(279) Terminal Garut 209,37.4
(475) RS Cianjur 77,(281) Stasiun Kuningan 381,87.32
(311) Hotel Cianjur 36,(398) Wisata Tasikmalaya 137,110.52
(104) Universitas Lembang 294,(301) Kings Shopping Center,4.48
(195) Wisata Sumedang 323,(46) Terminal Majalengka 66,135.48
(336) Wisata Lembang 78,(156) Mall Lembang 39,130.09
(162) Terminal Cimahi 197,(71) Museum Asia Afrika,5.79
(404) Terminal Kuningan 136,(415) Wisata Subang 306,105.84
(392) Stasiun Cianjur 425,(462) Universitas Bandung 207,21.57
(409) Dago Pakar,(334) Wisata Cianjur 274,9.8
(333) Wisata Purwakarta 229,(461) Terminal Indramayu 35,46.82
(269) Wisata Cirebon 453,(217) Universitas Tasikmalaya 211,129.06
(303) RS Cirebon 231,(491) Mall Lembang 22,37.88
(3) Stasiun Kuningan 336,(70) Mall Rancaekek 312,59.06
(117) Hotel Kuningan 285,(89) Terminal Indramayu 248,9.13
(496) Terminal Garut 334,(467) Alun-Alun Indramayu 117,36.0
(118) Universitas Soreang 356,(434) Mall Tasikmalaya 293,16.3
(402) Terminal Bandung 41,(265) RS Garut 436,94.55
(368) Alun-Alun Tasikmalaya 275,(12) Hotel Cimahi 392,105.18
(1) Universitas Rancaekek 20,(266) Alun-Alun Bandung 395,135.4
(100) Hotel Subang 396,(419) Alun-Alun Garut 195,9.47
(368) Alun-Alun Tasikmalaya 275,(322) Mall Indramayu 51,133.06
(439) RS Bandung 212,(444) Bandung Electronic Center,60.49
(453) Alun-Alun Indramayu 135,(111) Institut Teknologi Bandung,65.16
(262) Universitas Sumedang 369,(335) Hotel Tasikmalaya 263,122.73
(416) Hotel Purwakarta 257,(289) RS Al Islam,69.04
(320) Terminal Bandung 175,(85) Alun-Alun Subang 201,137.29
(390) Hotel Indramayu 347,(249) Stasiun Cirebon 106,28.82
(368) Alun-Alun Tasikmalaya 275,(152) Stasiun Bandung,135.28
(161) Stasiun Cianjur 63,(327) Stasiun Cianjur 382,145.31
(282) Universitas Purwakarta 112,(326) Alun-Alun Rancaekek 297,87.88
(375) Mall Purwakarta 331,(187) Terminal Garut 341,12.59
(280) Stasiun Rancaekek 393,(62) Stasiun Indramayu 418,73.78
(53) Hotel Cimahi 154,(480) Terminal Soreang 402,147.74
(86) Wisata Tasikmalaya 148,(91) Mall Cianjur 289,33.25
(498) RS Bandung 172,(152) Stasiun Bandung,123.7
(402) Terminal Bandung 41,(2) Stasiun Soreang 102,51.87
(342) Terminal Kuningan 412,(466) RS Lembang 94,86.23
(88) Hotel Cimahi 13,(208) Wisata Garut 281,22.1
(59) Hotel Sumedang 186,(41) RS Tasikmalaya 218,137.11
(411) Hotel Purwakarta 451,(319) Alun-Alun Garut 430,79.83
(293) Wisata Tasikmalaya 215,(171) Alun-Alun Tasikmalaya 325,126.5
(157) Universitas Soreang 410,(99) Alun-Alun Garut 328,28.56
(69) Hotel Cirebon 277,(459) RS Garut 226,72.25
(314) Alun-Alun Cianjur 31,(168) Mall Subang 316,42.26
(486) Mall Sumedang 184,(281) Stasiun Kuningan 381,47.3
(66) Gasibu,(132) Wisata Tasikmalaya 92,34.36
(444) Bandung Electronic Center,(111) Institut Teknologi Bandung,66.57
(354) Terminal Cicaheum,(364) Alun-Alun Cianjur 301,57.25
(336) Wisata Lembang 78,(119) Hotel Bandung 45,80.15
(219) Stasiun Tasikmalaya 118,(437) Universitas Cimahi 12,131.2
(159) Mall Lembang 87,(428) RS Purwakarta 70,46.32
(274) Hotel Subang 260,(117) Hotel Kuningan 285,16.73
(264) Hotel Cirebon 236,(169) Terminal Cianjur 171,92.63
(109) Terminal Cirebon 225,(126) Mall Lembang 438,10.77
(365) Wisata Majalengka 58,(337) Hotel Cirebon 158,85.27
(63) Alun-Alun Majalengka 454,(80) Mall Tasikmalaya 67,84.12
(92) Alun-Alun Soreang 456,(169) Terminal Cianjur 171,132.39
(411) Hotel Purwakarta 451,(238) Wisata Majalengka 138,54.55
(189) Alun-Alun Lembang 357,(432) Stasiun Lembang 424,30.89
(71) Museum Asia Afrika,(83) Mall Tasikmalaya 95,57.64
(391) Hotel Cimahi 374,(190) Universitas Cimahi 169,108.62
(369) Wisata Cirebon 140,(256) Terminal Purwakarta 203,143.37
(283) Mall Cimahi 300,(24) Universitas Soreang 222,119.2
(6) Wisata Sumedang 379,(333) Wisata Purwakarta 229,30.1
(127) Wisata Bandung 291,(478) RS Lembang 256,78.47
(199) Universitas Kuningan 1,(289) RS Al Islam,110.95
(382) Terminal Garut 296,(322) Mall Indramayu 51,83.39
(456) Mall Cirebon 320,(296) Hotel Lembang 364,146.68
(201) Universitas Purwakarta 406,(448) Universitas Cirebon 25,36.66
(332) Universitas Kuningan 122,(266) Alun-Alun Bandung 395,33.98
(390) Hotel Indramayu 347,(107) RS Cianjur 414,123.57
(429) Terminal Cianjur 19,(314) Alun-Alun Cianjur 31,139.03
(62) Stasiun Indramayu 418,(267) Hotel Cirebon 3,94.65
(315) Hotel Rancaekek 273,(105) Hotel Sumedang 228,56.96
(235) Wisata Lembang 264,(73) Hotel Majalengka 427,87.07
(39) Terminal Rancaekek 298,(184) Alun-Alun Bandung 113,58.25
(390) Hotel Indramayu 347,(355) RS Hasan Sadikin,38.51
(247) Stasiun Cimahi 210,(296) Hotel Lembang 364,5.93
(30) Universitas Tasikmalaya 33,(173) Hotel Bandung 89,137.63
(496) Terminal Garut 334,(110) RS Kuningan 14,49.56
(147) Alun-Alun Kuningan 23,(407) Terminal Majalengka 271,75.71
(173) Hotel Bandung 89,(11) Alun-Alun Majalengka 57,60.46
(425) Universitas Majalengka 384,(7) RS Kuningan 109,76.79
(42) Mall Cianjur 389,(96) RS Bandung 407,52.56
(285) Stasiun Indramayu 157,(386) Bandung Indah Plaza,144.93
(454) Terminal Bandung 216,(152) Stasiun Bandung,49.43
(447) Universitas Cimahi 265,(85) Alun-Alun Subang 201,2.66
(292) Hotel Indramayu 251,(399) RS Purwakarta 75,22.15
(246) Mall Cimahi 17,(267) Hotel Cirebon 3,91.38
(128) Wisata Majalengka 162,(423) Terminal Cianjur 80,83.77
(448) Universitas Cirebon 25,(163) Hotel Cianjur 338,85.38
(35) Alun-Alun Tasikmalaya 421,(200) RS Majalengka 142,1.04
(292) Hotel Indramayu 251,(124) Hotel Bandung 166,44.27
(10) RS Lembang 429,(250) Alun-Alun Cirebon 409,61.69
(137) RS Bandung 268,(83) Mall Tasikmalaya 95,47.23
(148) Terminal Majalengka 272,(252) Cihampelas Walk,74.65
(35) Alun-Alun Tasikmalaya 421,(212) Stasiun Lembang 344,85.12
(35) Alun-Alun Tasikmalaya 421,(466) RS Lembang 94,54.07
(74) Terminal Soreang 27,(351) Wisata Lembang 261,92.17
(229) Mall Cimahi 47,(167) RS Soreang 139,107.74
(354) Terminal Cicaheum,(267) Hotel Cirebon 3,127.76
(133) Terminal Cianjur 391,(292) Hotel Indramayu 251,68.27
(238) Wisata Majalengka 138,(40) Terminal Rancaekek 32,87.25
(213) Universitas Garut 145,(445) Wisata Soreang 319,140.95
(59) Hotel Sumedang 186,(286) Stasiun Cimahi 378,108.24
(391) Hotel Cimahi 374,(371) Alun-Alun Lembang 295,85.62
(370) Wisata Cirebon 48,(192) Wisata Cirebon 2,101.27
(84) Mall Subang 187,(226) Alun-Alun Majalengka 61,147.65
(271) RS Lembang 235,(296) Hotel Lembang 364,19.26
(158) Terminal Bandung 141,(253) RS Sumedang 241,85.14
(242) Terminal Tasikmalaya 280,(418) RS Rancaekek 411,71.61
(273) Hotel Cianjur 97,(397) Terminal Indramayu 249,96.13
(103) Wisata Rancaekek 120,(273) Hotel Cianjur 97,98.85
(306) Hotel Tasikmalaya 178,(147) Alun-Alun Kuningan 23,86.15
(238) Wisata Majalengka 138,(13) Kebun Binatang Bandung,15.12
(178) Wisata Purwakarta 397,(342) Terminal Kuningan 412,103.59
(124) Hotel Bandung 166,(181) Alun-Alun Cimahi 206,27.62
(436) Terminal Lembang 259,(399) RS Purwakarta 75,17.27
(247) Stasiun Cimahi 210,(284) GBLA Stadium,86.99
(49) Hotel Kuningan 105,(81) Terminal Cirebon 182,130.82
(36) Wisata Bandung 404,(137) RS Bandung 268,84.1
(11) Alun-Alun Majalengka 57,(459) RS Garut 226,1.85
(213) Universitas Garut 145,(360) Terminal Tasikmalaya 449,63.29
(312) Mall Indramayu 234,(122) Curug Dago,65.3
(77) Terminal Leuwipanjang,(231) Mall Bandung 408,7.45
(305) Alun-Alun Garut 88,(99) Alun-Alun Garut 328,74.88
(25) Hotel Subang 250,(270) RS Indramayu 43,92.49
(240) Wisata Cianjur 8,(280) Stasiun Rancaekek 393,2.46
(111) Institut Teknologi Bandung,(463) Wisata Purwakarta 52,72.07
(317) RS Kuningan 221,(131) Stasiun Soreang 200,61.25
(267) Hotel Cirebon 3,(449) Wisata Rancaekek 196,21.54
(12) Hotel Cimahi 392,(414) Alun-Alun Cimahi 124,91.34
(119) Hotel Bandung 45,(305) Alun-Alun Garut 88,137.51
(108) Saung Angklung Udjo,(244) Mall Bandung 353,87.26
(340) Stasiun Tasikmalaya 370,(162) Terminal Cimahi 197,69.28
(310) Alun-Alun Bandung,(325) Wisata Cirebon 351,148.61
(180) Universitas Cimahi 103,(447) Universitas Cimahi 265,133.56
(312) Mall Indramayu 234,(424) Hotel Garut 237,21.15
(181) Alun-Alun Cimahi 206,(323) Mall Cianjur 270,99.99
(99) Alun-Alun Garut 328,(106) Wisata Sumedang 73,7.3
(64) Alun-Alun Indramayu 72,(65) Terminal Rancaekek 287,117.49
(9) Terminal Subang 155,(69) Hotel Cirebon 277,54.76
(41) RS Tasikmalaya 218,(217) Universitas Tasikmalaya 211,47.88
